대계열,중계열,소계열,학과수,재적학생수,재학생,휴학생,학사학위취득유예생,학년별 재적학생수,1학년,2학년,3학년,4학년
인문계열,언어ㆍ문학,언어학,14,1645,1220,408,17,1645,326,388,457,474
인문계열,언어ㆍ문학,국어ㆍ국문학,177,25601,19608,5674,319,25601,4861,6031,6649,8060
인문계열,언어ㆍ문학,일본어ㆍ문학,98,12009,8547,3333,129,12009,2196,2908,3111,3794
인문계열,언어ㆍ문학,중국어ㆍ문학,126,17978,13358,4261,359,17978,2923,4196,4465,6394
인문계열,언어ㆍ문학,기타아시아어ㆍ문학,36,4489,3276,1180,33,4489,872,1098,1138,1381
인문계열,언어ㆍ문학,영미어ㆍ문학,202,32558,24032,8042,484,32558,5698,7598,8277,10985
인문계열,언어ㆍ문학,독일어ㆍ문학,54,5843,4237,1492,114,5843,998,1268,1492,2085
인문계열,언어ㆍ문학,러시아어ㆍ문학,30,2983,2035,909,39,2983,472,754,770,987
인문계열,언어ㆍ문학,스페인어ㆍ문학,19,3623,2622,943,58,3623,597,831,1046,1149
인문계열,언어ㆍ문학,프랑스어ㆍ문학,48,5910,4355,1438,117,5910,1069,1340,1464,2037
인문계열,언어ㆍ문학,기타유럽어ㆍ문학,27,3485,2639,838,8,3485,850,697,869,1069
인문계열,언어ㆍ문학,교양어ㆍ문학,41,8121,6178,1874,69,8121,2446,2158,1733,1784
인문계열,인문과학,문헌정보학,42,5860,4776,1049,35,5860,1034,1476,1595,1755
인문계열,인문과학,문화ㆍ민속ㆍ미술사학,106,10541,7770,2633,138,10541,2044,2782,2700,3015
인문계열,인문과학,심리학,91,13454,10617,2644,193,13454,2560,3356,3480,4058
인문계열,인문과학,역사ㆍ고고학,98,13553,9499,3887,167,13553,2410,3293,3477,4373
인문계열,인문과학,종교학,115,12910,9589,3282,39,12910,2733,3219,3446,3512
인문계열,인문과학,국제지역학,149,15560,11481,3814,265,15560,3577,3639,3633,4711
인문계열,인문과학,철학ㆍ윤리학,58,7688,5259,2344,85,7688,1304,1926,1963,2495
인문계열,인문과학,교양인문학,97,15792,13246,2511,35,15792,10492,2208,1627,1465
사회계열,경영ㆍ경제,경영학,714,174113,126525,44845,2743,174113,35309,44076,42828,51900
사회계열,경영ㆍ경제,경제학,153,40273,27358,11966,949,40273,7578,9963,9830,12902
사회계열,경영ㆍ경제,관광학,125,16769,13315,3297,157,16769,4302,4406,3754,4307
사회계열,경영ㆍ경제,광고·홍보학,62,9508,7173,2144,191,9508,1591,2385,2440,3092
사회계열,경영ㆍ경제,금융ㆍ회계ㆍ세무학,145,25459,17617,7497,345,25459,4447,6559,6549,7904
사회계열,경영ㆍ경제,무역ㆍ유통학,205,39093,28407,10135,551,39093,7656,10236,9552,11649
사회계열,경영ㆍ경제,교양경상학,10,2211,1640,558,13,2211,851,469,404,487
사회계열,법률,법학,133,21599,14490,6860,249,21599,3982,5421,5250,6946
사회계열,사회과학,가족ㆍ사회ㆍ복지학,361,48088,38460,9497,131,48088,9529,12504,12590,13465
사회계열,사회과학,국제학,74,10139,7661,2359,119,10139,2414,2369,2423,2933
사회계열,사회과학,도시ㆍ지역학,29,3191,2259,901,31,3191,729,833,743,886
사회계열,사회과학,사회학,47,7802,5623,2064,115,7802,1376,1852,2025,2549
사회계열,사회과학,언론ㆍ방송ㆍ매체학,140,25303,19106,5688,509,25303,4675,6306,6507,7815
